Year,Stocks,T.Bills,T.Bonds
1928,143.81,103.08,100.84
1929,131.88,106.34,105.07
1930,98.75,111.18,109.85
1931,55.46,113.74,107.03
1932,50.66,114.96,116.44
1933,75.99,116.06,118.60
1934,75.09,116.44,128.05
1935,110.18,116.64,133.78
1936,145.38,116.84,140.49
1937,94.00,117.19,142.43
1938,121.53,117.29,148.43
1939,120.20,117.33,154.98
1940,107.37,117.36,163.35
1941,93.66,117.46,160.04
1942,111.61,117.85,163.72
1943,139.59,118.30,167.79
1944,166.15,118.75,172.12
1945,225.67,119.20,178.67
1946,206.65,119.65,184.26
1947,217.39,120.33,185.95
1948,229.79,121.56,189.58
1949,271.85,122.90,198.42
1950,355.60,124.34,199.27
1951,439.80,126.18,198.68
1952,519.62,128.29,203.19
1953,513.35,130.72,211.61
1954,783.18,131.98,218.57
1955,1038.47,134.17,215.65
1956,1115.73,137.60,210.79
1957,999.05,142.04,225.11
1958,1435.84,144.57,220.39
1959,1608.95,149.27,214.56
1960,1614.37,153.82,239.53
1961,2044.40,157.30,244.46
1962,1864.26,161.67,258.38
1963,2285.80,166.70,262.74
1964,2661.02,172.54,272.53
1965,2990.97,179.28,274.49
1966,2692.74,187.95,282.47
1967,3333.69,196.10,278.01
1968,3694.23,206.41,287.11
1969,3389.77,219.96,272.71
1970,3510.49,234.66,318.41
1971,4009.72,245.32,349.57
1972,4761.76,255.01,359.42
1973,4080.44,272.16,372.57
1974,3023.54,293.33,379.98
1975,4142.10,310.90,393.68
1976,5129.20,326.35,456.61
1977,4771.20,343.09,462.50
1978,5081.77,366.87,458.90
1979,6022.89,403.33,461.98
1980,7934.26,448.58,448.17
1981,7561.16,512.73,484.91
1982,9105.08,569.18,644.04
1983,11138.90,617.26,664.65
1984,11823.51,676.60,755.92
1985,15516.60,727.26,950.29
1986,18386.33,771.15,1181.06
1987,19455.08,815.27,1122.47
1988,22672.40,867.86,1214.78
1989,29808.58,938.24,1429.72
1990,28895.11,1009.08,1518.87
1991,37631.51,1065.69,1746.77
1992,40451.51,1101.98,1910.30
1993,44483.33,1134.84,2181.77
1994,45073.14,1180.07,2006.43
1995,61838.19,1245.15,2477.55
1996,75863.69,1307.68,2512.94
1997,100977.34,1373.76,2762.71
1998,129592.25,1438.70,3174.95
1999,156658.05,1503.58,2912.88
2000,142508.98,1590.23,3398.03
2001,125622.01,1648.63,3587.37
2002,98027.82,1675.96,4129.65
2003,125824.39,1693.22,4145.15
2004,139341.42,1714.00,4331.30
2005,146077.85,1765.59,4455.50
2006,168884.34,1848.18,4542.87
2007,178147.20,1933.98,5006.69
2008,113030.22,1964.64,6013.10
2009,142344.87,1967.29,5344.65
2010,163441.94,1969.84,5796.96
2011,166871.56,1970.44,6726.52
2012,193388.43,1971.42,6926.40
2013,255553.31,1972.72,6295.79
2014,290115.42,1973.77,6972.34
2015,294115.79,1977.91,7061.89
2016,328645.87,1988.00,7110.65
